File	Word	V1	V2	POA	MOA	V1 Dur	V2 Dur	Consonant Duration	Burst Duration	Burst RMS	F0_V1	F1_onset_V1	F1_mid_V1	F2_onset_V1	F2_mid_V1	F0_V2	F1_onset_V2	F1_mid_V2	F2_onset_V2	F2_mid_V2
punam_396	shotti	o	i	D	VLS	77.79	72.67	131.27	10.27	0.02	291.73	512.23	602.18	1479.88	1422.46	393.99	420.15	408.78	2389.30	2155.10
punam_43	Ottadhunik	O	u	D	VLS	57.00	67.56	113.47	12.49	0.02	203.20	809.38	819.61	1192.60	1401.59	250.54	565.43	669.97	1863.61	1817.38
punam_44	mrittu	i	u	D	VLS	31.56	42.25	128.76	22.07	0.02	90.90	444.03	420.91	2376.26	2422.51	184.26	403.56	395.58	1653.39	1371.59
punam_460	agge	a	e	V	VS	142.12	249.75	202.72	20.17	0.02	245.02	1082.63	1089.57	1517.95	1467.65	323.12	451.69	656.51	1467.74	2066.90
punam_460	uddessho	u	e	D	VS	93.62	73.21	122.70	18.43	0.02	223.31	483.40	457.18	1303.21	1114.48	221.61	437.64	451.20	2174.71	2147.84
punam_47	mrittur	i	u	D	VLS	40.06	109.68	178.26	23.18	0.04	200.86	443.40	390.69	2568.20	2710.01	255.85	483.80	500.60	1525.25	1182.13
punam_529	Ottachar	O	a	D	VLS	69.07	68.43	121.06	10.54	0.02	217.93	795.59	714.81	1140.29	1292.64	256.61	582.28	756.05	1873.77	1868.85
punam_556	briddhader	i	a	D	VAS	40.14	72.89	101.52	21.66	0.02	232.33	463.09	451.00	1477.08	1306.44	279.19	546.27	704.03	1954.71	1855.77
punam_561	kOpal	O	a	BL	VLS_N	85.86	74.95	93.76	6.91	0.11	261.62	685.64	882.09	1378.37	1276.46	301.25	840.05	907.83	1491.64	1674.28
punam_561	shubidheo	u	i	BL	VS_N	38.30	65.83	44.50	12.34	0.06	308.21	499.17	418.25	1535.47	1332.73	282.62	386.16	389.56	1680.26	2285.07
punam_563	tObe	O	e	BL	VLS_N	100.76	130.56	58.27	8.36	0.05	323.31	678.07	989.89	1664.71	1580.21	398.78	605.04	609.45	1933.89	2355.87
punam_563	dhakka	a	a	V	VLS	53.76	105.68	139.09	14.27	0.03	208.93	843.22	950.85	1289.88	1522.87	258.90	641.96	885.07	1795.52	1804.77
